"id","cover_photo","description","established_date","developer_name","thumbnail"
1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnDTkdA38Qi_7RLtj2283fRSJxLHxvX6FdZg&usqp=CAU,,1999-01-01,Santa Monica Studio,https://upload.wikimedia.org/wikipedia/en/thumb/c/c1/Santa_Monica_Studio.svg/220px-Santa_Monica_Studio.svg.png
2,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/33273264/4256bc824357bb34aa4e2f7f11df9a62633d286f.png,,1979-05-30,Capcom,https://avatars.cloudflare.steamstatic.com/6b62a91eb5a093261d8831d1908717bab0d687e9_full.jpg
3,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/33075774/6f635e1eeae42b293705087fc040e77116ed365a.png,"Ubisoft is a creator of worlds, committed to enriching players' lives with original and memorable gaming experiences.",1986-03-28,Ubisoft,https://avatars.cloudflare.steamstatic.com/2b2486ae5a70d69c55f020ce8384d04646ddba4e_full.jpg
4,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/36135791/b42c79819a407c68f5b12a0028a2a8871bec6c7c.png,,1982-05-27,Electronic Arts,https://avatars.cloudflare.steamstatic.com/618cc2a46fad78ed1259df505c2de5bb4d806532_full.jpg
5,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/33016879/c0a3a3a256b1c8c0023cfce1a0fe900abb4cd64a.png,,2009-01-14,KOEI TECMO,https://avatars.cloudflare.steamstatic.com/f76177141df41c80109df7c0df81f303a933a44c_full.jpg
6,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/32989758/b05e42588fee27abeb63080593125642b63cf219.jpg,"CD PROJEKT RED is a development studio founded in 2002. Our mission is to tell emotional stories riddled with meaningful choices and consequences, as well as featuring characters gamers can truly connect with.",2002-01-01,CD PROJEKT RED,https://avatars.cloudflare.steamstatic.com/4f1187c11ad41f8aa58b9109efd52c2f8bca9918_full.jpg
7,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/1541443/fb4af705f9b9e9d14640e48258d6ee11b8ad15a6.jpg,,1988-12-01,Rockstar Games,https://avatars.cloudflare.steamstatic.com/d83a1786f23929deb5f20326f128bbc13a9a1e85_full.jpg
8,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/33042543/22343df6affaa7a2657500d398024aed36ec2cba.png,"Bandai Namco exists to share dreams, fun and inspiration with people around the world. Do you wish to enjoy every single day to the fullest? What we want is for people like you to always have a reason to smile.",2006-03-31,Bandai Namco Entertainment,https://avatars.cloudflare.steamstatic.com/97ea9619ba3076b8549c1484bef9308a67f0c64d_full.jpg
9,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/37700027/df452cd72626e4abc7fa73f6d641a5ce65cd2d19.jpg,"Quantic Dream is an award-winning French video game developer and publisher founded to create AAA games with a focus on emotional, interactive storytelling and innovation in narrative.",1997-05-02,Quantic Dream,https://avatars.cloudflare.steamstatic.com/baf1dce75db2d5bfb0f5e14dd2183c4cb61911f7_full.jpg
10,https://cdn.akamai.steamstatic.com/steamcommunity/public/images/clans/32528477/75c893bdb19f4785094b30c98cc90f8fc69546b9.png,“To be this good takes AGES”,1960-03-06,SEGA,https://avatars.cloudflare.steamstatic.com/93aafaeb1ee958cc14bb78344df71c92d9734980_full.jpg
